epsilon,tau,kappa,lambda_ent,best_elbo,final_epoch,accuracy,cover_at_2,mean_feasible_rate,mean_CI_width_90,mean_entropy,time_sec
0.005,0.1,20,0.0,-867.8187255859375,200,0.8040432832523303,0.846115306139306,0.854692729432566,0.2512499155240714,1.1490014407870173,29.26035523414612
0.005,0.1,20,0.05,-905.29345703125,200,0.786449466490494,0.8298722802211191,0.825853422238226,0.2532510487212854,1.149149812143675,26.27841424942017
0.005,0.1,20,0.1,-898.5900268554688,200,0.7953171301107461,0.8542737306904421,0.832988350751684,0.253983554652021,1.1524722647901853,25.89251017570496
0.005,0.1,20,0.2,-916.972412109375,200,0.7677419973997579,0.8222809690082942,0.8090174844518142,0.2537737848436346,1.150594059928518,24.85202050209045
0.005,0.2,20,0.0,-928.887939453125,200,0.8011007397377571,0.8375144487828758,0.8304770530366047,0.2501598118184285,1.1693488821514617,25.67371106147766
0.005,0.2,20,0.05,-885.62841796875,200,0.7691328303042494,0.8465525525688887,0.817702184567015,0.2518733349500909,1.149468036231861,25.052547693252563
0.005,0.2,20,0.1,-878.54736328125,200,0.7849100631368137,0.8640181655586818,0.7860404477990974,0.2578698521723088,1.1538614769595674,25.1353280544281
0.005,0.2,20,0.2,-945.406982421875,200,0.7584300686555974,0.8467668992324364,0.8329050768986846,0.252506237891782,1.1379947340005947,24.91642928123474
0.005,0.3,20,0.0,-916.5061645507812,200,0.7642007902523105,0.841405468727442,0.8408817285417901,0.2521335242220928,1.1473682734689217,24.88926100730896
0.005,0.3,20,0.05,-889.7337646484375,200,0.7561893079753874,0.8406986517104404,0.8333426884388336,0.2528466802078333,1.1427159738479211,24.83668255805969
0.005,0.3,20,0.1,-880.1232299804688,200,0.7870814440476989,0.8526198119340919,0.8188579765100776,0.2525584321155792,1.140731527767906,24.873724460601807
0.005,0.3,20,0.2,-912.74267578125,200,0.7769791552576552,0.8519398807811879,0.7975411627765169,0.2533089939137393,1.1483242779117648,26.953272581100464
0.01,0.1,20,0.0,-877.334228515625,200,0.7706215836277972,0.8546156932198972,0.7120077433710642,0.2548031667887448,1.1517134227337429,27.73670148849488
0.01,0.1,20,0.05,-911.239013671875,200,0.8020246464315458,0.876096689429056,0.7530882152956303,0.2541662025456518,1.155764160597249,25.15429711341858
0.01,0.1,20,0.1,-893.7159423828125,200,0.7634892575068049,0.840362805129488,0.7783035416343266,0.2517273261352309,1.1457035501776642,25.274770975112915
0.01,0.1,20,0.2,-896.8912963867188,200,0.8036891464625299,0.8369868176689139,0.7764226780654461,0.2514756870470352,1.149914232696693,25.14998817443848
0.01,0.2,20,0.0,-898.5800170898438,200,0.7772929799513175,0.8499627815125943,0.7675663099791423,0.2522482298772609,1.148957562164706,25.293022871017456
0.01,0.2,20,0.05,-834.9031372070312,200,0.7984568167644053,0.8493307849551847,0.7476232289601249,0.2553157856493013,1.143532099570683,25.08150243759156
0.01,0.2,20,0.1,-834.9031372070312,200,0.8085207393717029,0.9083742825370228,0.7709330678896053,0.2522813018140184,1.151436579433581,25.093596935272217
0.01,0.2,20,0.2,-946.200439453125,200,0.8091531850905738,0.9201428826375896,0.7723235094357116,0.2524671291098889,1.1619476326362856,25.02092957496643
