season,mode,mechanism,winner_idx,winner_prob,topk_consensus,topk_prob,spearman_skill,spearman_pop,divergence
1,A,JS,0,0.475,0|3|4,0.39,0.21371428571428575,0.8437142857142856,0.6183333333333333
2,A,JS,8,0.365,4|5|8,0.32,0.2755151515151515,0.8527272727272728,0.8092857142857143
3,A,JS,4,0.29,3|4|5,0.295,-0.1332272727272727,0.8425454545454545,0.84
4,A,JS,4,0.27,3|4|9,0.26,0.49986363636363634,0.8929090909090909,0.845625
5,A,JS,7,0.35,3|7|8,0.335,0.3449300699300699,0.8554895104895104,0.8183333333333334
6,A,JS,7,0.285,0|7|11,0.075,0.171558932096061,0.7123828788149728,0.860625
7,A,JS,9,0.265,5|6|9,0.11,-0.014140315990534748,0.6041958948290261,0.903125
8,A,JS,5,0.255,4|5|9,0.11,0.39200862394382274,0.7867957924694431,0.905
9,A,JS,-1,nan,2|6|8,0.02,-0.2868715518163234,0.43129243694962277,0.9927777777777778
10,A,JS,5,0.355,4|5|7,0.27,0.6200454545454545,0.8864545454545454,0.8475
11,A,JS,3,0.375,2|3|8,0.235,0.34073426573426574,0.8793706293706294,0.815
12,A,JS,3,0.35,1|2|3,0.175,0.5243636363636364,0.9004090909090908,0.841875
13,A,JS,11,0.385,2|3|11,0.325,0.01713286713286713,0.8518181818181819,0.8205555555555556
14,A,JS,11,0.225,3|4|10,0.09,0.6025053022561031,0.838284998337082,0.860625
15,A,JS,0,0.275,0|2|6,0.035,-0.02321399184477617,0.5563771770901582,0.9014285714285715
16,A,JS,1,0.4,1|5|9,0.22,0.7034965034965035,0.9115950932486899,0.845
17,A,JS,4,0.305,4|5|10,0.35,0.6306993006993007,0.8939510489510489,0.8644444444444445
18,A,JS,7,0.225,2|3|7,0.065,0.4053596409039841,0.6748521732737458,0.8485714285714285
19,A,JS,-1,nan,3|4|11,0.21,0.37621768740964584,0.8687766128036719,0.848
20,A,JS,4,0.225,1|4|8,0.13,0.42310047371465265,0.8388103931883358,0.87875
21,A,JS,10,0.24,2|8|10,0.095,0.5377617079889806,0.6661354307291992,0.8742857142857143
22,A,JS,4,0.22,1|5|6,0.04,0.295124623733654,0.7669520895934145,0.8914285714285715
23,A,JS,4,0.275,4|11|12,0.075,0.21689153943458359,0.6907709423430589,0.8788888888888889
24,A,JS,6,0.26,2|5|6,0.055,0.5082669791028871,0.8086702418880785,0.873125
25,A,JS,8,0.22,4|5|11,0.06,0.12827872367160353,0.6346442814527147,0.91625
26,A,JS,1,0.27,0|1|2,0.325,-0.4500463108541991,-0.5658377719979059,0.9933333333333333
27,A,JS,6,0.185,3|6|7,0.105,0.1713091899821468,0.6557325157425489,0.9078571428571428
28,A,JS,11,0.265,2|9|11,0.11,0.4942739628978286,0.915944055944056,0.7942857142857143
29,A,JS,-1,nan,4|7|10,0.085,0.6051181918119601,0.8320890837666848,0.785
30,A,JS,9,0.235,4|9|10,0.2,0.18375178180180257,0.5835831253852523,0.878125
31,A,JS,-1,nan,4|9|13,0.03,0.22416025109928006,0.6047548298495059,0.8266666666666667
32,A,JS,-1,nan,4|8|12,0.285,0.3858978007756123,0.8867636094706449,0.7561111111111111
33,A,JS,3,0.205,3|7|11,0.045,0.15703916338236354,0.3470261101881648,0.9966666666666667
34,A,JS,-1,nan,6|10|13,0.07,0.3481946772572232,0.6654091031504353,0.886875
